artwork_reference_number,title,artwork_description,artwork_sort_order,artwork_year,drupal_url,body_text,link,drupal_nid,drupal_post_date,published,artwork_url_original,artwork_url_thumbnail
126,fish tank in an Indian restaurant,24 x 18 in (61 x 45.7 cm),8,2010,/artwork/fish-tank-in-an-indian-restaurant,"oil on graphite on panel, 24 x 18 in (61 x 45.7 cm)",/artwork/fish-tank-in-an-indian-restaurant,146,12/22/10 20:13,Yes,http://www.enaswansea.com/sites/default/files/artwork/999/5fishtankinanindianrestaurant.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/999/5fishtankinanindianrestaurant.jpg
132,snow in Charlotte,72 x 96 in | 183 x 244 cm,8,2011,/artwork/snow-in-charlotte-0,,/artwork/snow-in-charlotte-0,157,2/27/11 1:37,Yes,http://www.enaswansea.com/sites/default/files/artwork/132/snowincharlotte2adj.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/132/snowincharlotte2adj.jpg
142,bird thoughts,60 x 48 in | 152 x 122 cm,8,2012,/artwork/bird-thoughts,,/artwork/bird-thoughts,170,3/8/12 9:23,Yes,http://www.enaswansea.com/sites/default/files/artwork/142/142birdthoughts.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/142/142birdthoughts.jpg
155,he wrote the lyrics while skiing,104 x 104 in | 264 x 264 cm,8,2013,/artwork/he-wrote-the-lyrics-while-skiing,,/artwork/he-wrote-the-lyrics-while-skiing,185,3/13/13 12:58,Yes,http://www.enaswansea.com/sites/default/files/artwork/155/hewrotethelyricswhileskiingforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/155/hewrotethelyricswhileskiingforwebsite.jpg
183,14th St pile field,45 x 54 in | 114.3 x 137.2 cm,8,2014,/artwork/14th-st-pile-field-4,,/artwork/14th-st-pile-field-4,217,11/22/14 16:29,Yes,http://www.enaswansea.com/sites/default/files/artwork/183/18314thstreetpilefieldadjforwebsite.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/183/18314thstreetpilefieldadjforwebsite.png
197,cardboard legs,95 x 110 in | 241 x 280 cm,8,2016,/artwork/cardboard-legs,,/artwork/cardboard-legs,228,7/23/16 12:36,Yes,http://www.enaswansea.com/sites/default/files/artwork/197/197cardboardlegsforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/197/197cardboardlegsforwebsite.jpg
207,snowman and shadows,80 x 54 in | 203 x 137 cm,8,2017,/artwork/snowman-and-shadows,,/artwork/snowman-and-shadows,240,3/1/17 9:18,Yes,http://www.enaswansea.com/sites/default/files/artwork/207/207snowmanandshadowsforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/207/207snowmanandshadowsforwebsite.jpg
215,Scottish marching band,90 x 114 inches | 229 x 290 cm,8,2018,/artwork/scottish-marching-band,,/artwork/scottish-marching-band,248,1/8/18 22:59,Yes,http://www.enaswansea.com/sites/default/files/artwork/215/215scottishmarchingbandadjforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/215/215scottishmarchingbandadjforwebsite.jpg
28,x-rays n,108 x 53 in (274.5 x 134.5 cm),9,2004,/artwork/x-rays-n,"oil on graphite on linen, 108 x 53 in (274.5 x 134.5 cm)",/artwork/x-rays-n,117,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/28/28xraysn.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/28/28xraysn.jpg
70,untitled,27 x 36 in (68.58 x 91.44 cm),9,2005,/artwork/untitled,"oil on graphite on linen, 27 x 36 in (68.58 x 91.44 cm)",/artwork/untitled,75,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/70/72untitled150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/70/72untitled150.jpg
81,Princess Gloria,72 x 114 in (182.88 x 289.56 cm),9,2006,/artwork/princess-gloria-0,"oil on graphite on linen, 72 x 114 in (182.88 x 289.56 cm)",/artwork/princess-gloria-0,64,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/81/81princessgloria.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/81/81princessgloria.jpg
91,happy valley,72 x 96 in (182.9 x 243.8 cm),9,2007,/artwork/happy-valley,"oil on graphite on linen, 72 x 96 in (182.9 x 243.8 cm)",/artwork/happy-valley,54,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/91/91happyvalley.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/91/91happyvalley.jpg
106,21st century haystack 1,48 x 72 in (121.9 x 182.9 cm),9,2008,/artwork/21st-century-haystack-1,"oil on graphite on linen, 48 x 72 in (121.9 x 182.9 cm)",/artwork/21st-century-haystack-1,39,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/106/10921stcenturyhaystack1150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/106/10921stcenturyhaystack1150.jpg
124,yellow fields,60 x 48 in (152.4 x 121.9 cm),9,2010,/artwork/yellow-fields,"mixed media on graphite on linen, 60 x 48 in (152.4 x 121.9 cm)",/artwork/yellow-fields,148,12/22/10 20:14,Yes,http://www.enaswansea.com/sites/default/files/artwork/999/7yellowfields.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/999/7yellowfields.jpg
133,snow on 5th Ave,28 x 80 in | 71 x 203 cm,9,2011,/artwork/snow-on-5th-ave,,/artwork/snow-on-5th-ave,158,2/27/11 1:50,Yes,http://www.enaswansea.com/sites/default/files/artwork/133/133snow5thaveadj.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/133/133snow5thaveadj.jpg
148,haystack at night,24 x 18 in | 61 x 45 cm,9,2012,/artwork/haystack-at-night-0,,/artwork/haystack-at-night-0,179,11/4/12 20:28,Yes,http://www.enaswansea.com/sites/default/files/artwork/148/148haystackatnight.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/148/148haystackatnight.png
160,14th St pile field,18 x 24 in | 46 x 61 cm,9,2013,/artwork/14th-st-pile-field-2,,/artwork/14th-st-pile-field-2,190,5/16/13 13:17,Yes,http://www.enaswansea.com/sites/default/files/artwork/160/16014thstreetpilefield03forwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/160/16014thstreetpilefield03forwebsite.jpg
176,it's morning already?,60 x 72 in | 152 x 183 cm,9,2014,/artwork/its-morning-already,,/artwork/its-morning-already,206,1/28/14 19:08,Yes,http://www.enaswansea.com/sites/default/files/artwork/176/176itsmorningalready.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/176/176itsmorningalready.png
200,40 people in a club,72 x 94 in | 183 x 239 cm,9,2016,/artwork/40-people-in-a-club,,/artwork/40-people-in-a-club,232,10/24/16 11:39,Yes,http://www.enaswansea.com/sites/default/files/artwork/200/20040peopleinaclubforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/200/20040peopleinaclubforwebsite.jpg
31,above the ocean in a storm,90 x 180 in (228.6 x 457 cm),10,2004,/artwork/above-the-ocean-in-a-storm,"oil on graphite on linen, 90 x 180 in (228.6 x 457 cm)",/artwork/above-the-ocean-in-a-storm,114,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/31/32abovetheoceaninastorm150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/31/32abovetheoceaninastorm150.jpg
71,night,94 x 136 in (238.76 x 345.44 cm),10,2005,/artwork/night,"oil on graphite on linen, 94 x 136 in (238.76 x 345.44 cm)",/artwork/night,74,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/71/73night150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/71/73night150.jpg
80,Princess Elisabeth,114 x 84 (289.56 x 213.36),10,2006,/artwork/princess-elisabeth,"oil on graphite on linen, 114 x 84 (289.56 x 213.36)",/artwork/princess-elisabeth,65,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/80/82princesselisabeth150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/80/82princesselisabeth150.jpg
135,Hercules and Hercules junior,72 x 96 in | 183 x 244 cm,10,2011,/artwork/hercules-and-hercules-junior,,/artwork/hercules-and-hercules-junior,161,3/3/11 23:59,Yes,http://www.enaswansea.com/sites/default/files/artwork/135/135herculesandherculesjunior.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/135/135herculesandherculesjunior.jpg
147,haystack at night,24 x 18 in | 61 x 45 cm,10,2012,/artwork/haystack-at-night,,/artwork/haystack-at-night,178,11/4/12 19:57,Yes,http://www.enaswansea.com/sites/default/files/artwork/147/147haystackatnight.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/147/147haystackatnight.png
166,Flatiron Building,24 x 18 in | 61 x 46 cm,10,2013,/artwork/flatiron-building,,/artwork/flatiron-building,196,8/1/13 11:53,Yes,http://www.enaswansea.com/sites/default/files/artwork/166/166flatironbuilding.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/166/166flatironbuilding.jpg
174,she said no,72 x 60 in | 183 x 152 cm,10,2014,/artwork/she-said-no,,/artwork/she-said-no,204,1/28/14 18:43,Yes,http://www.enaswansea.com/sites/default/files/artwork/174/174shesaidno.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/174/174shesaidno.png
202,tiny plastic hands,20 x 30 in | 50.8 x 76.2 cm,10,2016,/artwork/tiny-plastic-hands,,/artwork/tiny-plastic-hands,237,10/24/16 13:18,Yes,http://www.enaswansea.com/sites/default/files/artwork/202/202tinyplastichandscroppedforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/202/202tinyplastichandscroppedforwebsite.jpg
8,the letter,36 x 48 in (91 x 122 cm),11,2004,/artwork/the-letter,"oil on graphite on linen, 36 x 48 in (91 x 122 cm)",/artwork/the-letter,24,8/23/10 23:56,Yes,http://www.enaswansea.com/sites/default/files/artwork/8/8theletter.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/8/8theletter.jpg
64,colony,96 x 72 in (243.84 x 182.88 cm),11,2005,/artwork/colony,"oil on graphite on linen, 96 x 72 in (243.84 x 182.88 cm)",/artwork/colony,81,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/64/64colony.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/64/64colony.jpg
82,go go dancer,60 x 48 in (152.40 x 121.92 cm),11,2006,/artwork/go-go-dancer,"oil on graphite on linen, 60 x 48 in (152.40 x 121.92 cm)",/artwork/go-go-dancer,63,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/82/84gogodancer150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/82/84gogodancer150.jpg
161,14th St pile field,18 x 24 in | 46 x 61 cm,11,2013,/artwork/14th-st-pile-field-3,,/artwork/14th-st-pile-field-3,191,8/1/13 11:43,Yes,http://www.enaswansea.com/sites/default/files/artwork/161/16114thstreetpilefield04adjforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/161/16114thstreetpilefield04adjforwebsite.jpg
182,The Box,51.5 x 76 in | 130.8 x 193 cm,11,2014,/artwork/the-box-1,,/artwork/the-box-1,215,9/2/14 16:11,Yes,http://www.enaswansea.com/sites/default/files/artwork/182/182thebox2014forwebsite.png,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/182/182thebox2014forwebsite.png
194,Zachariah,36 x 48 in | 91.5 x 122 cm,11,2016,/artwork/zachariah,,/artwork/zachariah,226,7/23/16 12:32,Yes,http://www.enaswansea.com/sites/default/files/artwork/194/194zachariah150dpiforwebsite.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/194/194zachariah150dpiforwebsite.jpg
46,unexpected letter,36 x 48 in (91.44 x 121.92 cm),12,2004,/artwork/unexpected-letter,"oil on graphite on canvas, 36 x 48 in (91.44 x 121.92 cm)",/artwork/unexpected-letter,99,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/46/47unexpectedletter150.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/46/47unexpectedletter150.jpg
68,supermodel,96 x 72 in (234.8 x 182.9 cm),12,2005,/artwork/supermodel,"oil on graphite on linen, 96 x 72 in (234.8 x 182.9 cm)",/artwork/supermodel,77,9/24/10 20:41,Yes,http://www.enaswansea.com/sites/default/files/artwork/68/68supermodel.jpg,http://www.enaswansea.com/sites/default/files/imagecache/tiny_thumbnail/artwork/68/68supermodel.jpg
